formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Chausath Prahari Pippali,"respiratory problems cough asthma low immunity weakness","pippali processed formulation","prepare by prolonged processing of pippali","125–250 mg","rasa","","general physician pulmonologist","supports lungs boosts immunity and improves strength"
Chintamani Ras,"neurological disorders weakness fatigue low immunity anxiety","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports brain function improves strength and calms mind"
Dantodbhed Gadantak Ras,"teething problems fever pain irritability in children","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","pediatrician","relieves teething pain reduces fever and soothes children"
Dashmoola Rasayana,"weakness fatigue low immunity inflammation respiratory problems","dashmool herbs formulation","prepare herbal compound store","125–250 mg","rasayana","","general physician","boosts immunity improves strength and reduces inflammation"
Dhatri Loha,"anemia fatigue weakness low hemoglobin indigestion","amla iron loha herbs","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin treats anemia and boosts strength"
Gadmurari Ras,"fever infection weakness fatigue toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Gaganasundar Rasa,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Gajananda Rasa,"indigestion bloating gas abdominal pain poor digestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Galtkusthari Ras,"skin disorders itching infection inflammation toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Gandhamrit Ras,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and boosts immunity"
Garbh Vinod Ras,"pregnancy support weakness fatigue fetal development","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports pregnancy improves strength and fetal health"
Garbha Chintamani Ras,"pregnancy complications weakness fatigue anxiety","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports pregnancy reduces complications and improves vitality"
Garbhapal Ras,"pregnancy support weakness fatigue fetal growth","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports fetal development improves maternal strength"
Garbhavilas Ras,"pregnancy weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","enhances strength supports pregnancy and boosts immunity"
Garbhpal Ras,"pregnancy support weakness fatigue fetal development","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports pregnancy improves strength and fetal growth"
Grahani Kapata Rasa,"indigestion diarrhea bloating abdominal pain grahani disorder","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","treats grahani improves digestion and controls diarrhea"
Grahani Shardul Ras,"indigestion diarrhea bloating abdominal pain grahani disorder","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion treats grahani and relieves abdominal issues"
Grahani Vajra Kapat Ras,"indigestion diarrhea bloating abdominal pain grahani disorder","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","strengthens digestion treats grahani and controls diarrhea"
Grehani Gajkesari Ras,"indigestion diarrhea bloating abdominal pain weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion controls diarrhea and boosts strength"
Gulmakalanala Rasa,"abdominal tumors bloating gas abdominal pain indigestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces abdominal lumps improves digestion and relieves bloating"
Gulmakuthar Ras,"abdominal tumors bloating gas abdominal pain indigestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","treats abdominal lumps improves digestion and reduces gas"
Gunjabhadra Ras,"skin disorders infection inflammation toxin accumulation itching","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces infection and detoxifies body"
Hemabhraka Sindura Rasa,"weakness fatigue respiratory problems low immunity infertility","abhrak mercury herbal blend","purify and process ingredients to form sindura","15–30 mg","rasa","","general physician pulmonologist","boosts immunity improves strength and supports respiratory health"
Hemagarbhapottli Rasa,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","15–30 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Hikkantaka Rasa,"hiccups cough respiratory problems indigestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves hiccups supports lungs and improves digestion"
Hinguleshwar Ras,"fever infection inflammation weakness fatigue","hingula mercury herbal blend","purify and process ingredients to form compound","125–250 mg","rasa","","general physician","reduces fever treats infection and improves strength"
Hridayarnava Rasa,"heart disease palpitations hypertension weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","cardiologist general physician","supports heart health reduces palpitations and improves vitality"
Ichhabhedi Rasa,"constipation abdominal pain bloating toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Indushekhara Rasa,"acidity indigestion burning sensation nausea headache","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity soothes stomach and relieves headache"
Jaimangal Ras,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and boosts immunity"
Jawsamhar Ras,"dental problems gum disease tooth pain infection","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dentist","improves oral health reduces pain and treats infections"
Jwalanal Ras,"indigestion bloating gas abdominal pain poor digestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","stimulates digestion relieves gas and improves appetite"
Jwarantak Rasayan,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasayana","","general physician","reduces fever boosts immunity and supports recovery"
Kalagni Bhairav Ras,"indigestion bloating gas abdominal pain diarrhea","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and controls diarrhea"
Kalpataru Ras,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and boosts immunity"
Kamchudamani Ras,"fever chronic fever weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever improves strength and boosts immunity"
Kamdudha Ras Moti Yukt,"acidity burning sensation indigestion nausea vomiting","herbal mineral blend pearl","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity cools body and soothes stomach"
Kamdudha Ras Mukta Yukta,"acidity indigestion burning sensation nausea headache","herbal mineral blend pearl","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity calms mind and improves digestion"
Kanta Vallabha Rasa,"weakness fatigue infertility low libido reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","improves strength supports fertility and enhances vitality"
Kaph Kuthar Ras,"cough asthma bronchitis respiratory problems chest congestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough reduces congestion and supports lungs"
Kapha Chintamani Rasa,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Kaphaketu Rasa,"cough asthma bronchitis respiratory problems fever","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough reduces fever and improves breathing"
Karpura Rasa,"indigestion nausea vomiting bloating abdominal pain","camphor herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves nausea and reduces bloating"
Kravyad Rasa,"indigestion bloating gas abdominal pain poor digestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","stimulates digestion relieves gas and improves appetite"
Krimi Kantak Ras,"parasitic infection intestinal worms indigestion bloating","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","eliminates worms improves digestion and detoxifies body"
Krimi Kuthar Ras,"parasitic infection intestinal worms abdominal pain bloating","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","destroys parasites relieves abdominal pain and improves digestion"
Krimi Mudgar Ras,"parasitic infection intestinal worms indigestion toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","eliminates worms detoxifies body and improves digestion"
Krimighan Rasa,"parasitic infection intestinal worms indigestion bloating","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","destroys parasites improves digestion and reduces bloating"
Krishna Chaturmukh Rasa,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Kumar Kalyan Ras,"childhood disorders weakness low immunity fever cough","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","pediatrician","supports child health boosts immunity and improves strength"
Kumar kalyan Rasa,"childhood disorders weakness low immunity fever cough","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","pediatrician","supports child health boosts immunity and improves strength"
Kumudeshwar Rasa,"fever infection weakness fatigue toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infection and improves vitality"
Kushtha Kuthar Ras,"skin disorders itching infection inflammation toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Kushthakalanal Rasa,"skin disorders chronic skin disease itching inflammation toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats chronic skin conditions detoxifies body and reduces inflammation"
Laghu Malini Vasanta Rasa,"fever chronic fever weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever improves strength and boosts immunity"
Laghu Sutshekhar Ras,"acidity indigestion burning sensation nausea headache","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity soothes stomach and relieves headache"
Lakshmi Vilasa Rasa Swarn Yukt,"cough asthma bronchitis respiratory problems fever weakness","herbal mineral blend gold","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs reduces fever and boosts immunity"
Laxmi Narayan Rasa,"fever infection cough cold weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Laxmibilasa Ras Nardiya,"cough asthma bronchitis respiratory problems chest congestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough reduces congestion and supports respiratory health"
Leela Vilas Ras,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever boosts immunity and improves vitality"
Loha Parpati,"anemia weakness fatigue low hemoglobin indigestion","iron loha preparation","prepare by heating and forming thin flakes","125–250 mg","rasa","","general physician hematologist","improves hemoglobin treats anemia and supports digestion"
Loknath Ras,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Maha Jwarankusha Rasa,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Maha Kanaka Sundara Rasa,"respiratory problems cough asthma tuberculosis weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Maha Paitantaka Rasa,"acidity indigestion burning sensation nausea vomiting","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity soothes stomach and improves digestion"
Mahachandrakala Rasa,"bleeding disorders burning sensation fever weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","cools body reduces bleeding and improves strength"
Mahalaxmi Vilas Ras,"cough asthma bronchitis respiratory problems fever weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs reduces cough and boosts immunity"
Mahavat Vidhwansan Ras,"arthritis joint pain nerve pain paralysis stiffness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician orthopedist","relieves joint pain supports nerves and improves mobility"
Makardhwaj,"weakness fatigue low immunity infertility low libido","gold mercury sulfur blend","prepare compound through specialized processing","15–30 mg","rasa","","general physician","boosts vitality improves strength and enhances reproductive health"
Mallasindura,"respiratory problems cough asthma tuberculosis weakness","mercury sulfur compound","prepare sindura through specialized processing","15–30 mg","rasa","","general physician pulmonologist","supports lungs improves strength and treats respiratory disorders"
Manikya Pishti,"heart disease palpitations anxiety stress weakness","ruby gemstone processed","triturate with herbal liquids to form paste","125–250 mg","pishti","","cardiologist general physician","supports heart calms mind and improves vitality"
Manmatha Rasa,"infertility low libido weakness fatigue reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances fertility improves strength and boosts vitality"
Mrityunjaya Rasa,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and supports recovery"
Mukta Panchamrit Ras,"acidity indigestion burning sensation weakness fatigue","pearl herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity cools body and improves digestion"
Mukta Pishti,"anxiety stress insomnia weakness fatigue heart disorders","pearl processed","triturate with herbal liquids to form paste","125–250 mg","pishti","","cardiologist neurologist","calms mind supports heart and improves sleep"
Mukta Shukti Pishti,"acidity indigestion burning sensation gastric disorders","oyster shell processed","triturate with herbal liquids to form paste","125–250 mg","pishti","","general physician gastroenterologist","reduces acidity improves digestion and soothes stomach"
Nagarjunabhra Ras,"respiratory problems cough asthma weakness fatigue low immunity","abhrak herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and boosts immunity"
Nageshwar Ras,"heart disease palpitations anxiety weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","cardiologist general physician","supports heart reduces anxiety and improves vitality"
Narach Ras,"constipation abdominal pain bloating toxin accumulation indigestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","acts as laxative relieves constipation and detoxifies body"
Nashtapushpantak Ras,"infertility menstrual disorders hormonal imbalance weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports fertility balances hormones and improves reproductive health"
Navaloha Chintamani,"anemia weakness fatigue low hemoglobin low immunity","iron mineral herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin boosts immunity and enhances strength"
Navaratna Raja Mriganka Rasa,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Navayas Lauh,"anemia weakness fatigue low hemoglobin indigestion","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","improves hemoglobin treats anemia and supports digestion"
Navjeevan Ras,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","revitalizes body improves strength and boosts immunity"
Navratna Kalp Amrit Ras,"weakness fatigue low immunity aging chronic illness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality supports longevity and improves immunity"
Nityananda Rasa,"skin disorders itching infection inflammation toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Nityodita Rasa,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Panchabana Rasa,"infertility low libido weakness fatigue reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves fertility and boosts strength"
Piyush Valli Ras,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Poorna Chandrodaya Ras,"weakness fatigue low immunity infertility aging","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality supports longevity and improves strength"
Pradarantak Lauh,"leucorrhea menstrual disorders excessive bleeding weakness anemia","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist general physician","controls bleeding treats anemia and supports reproductive health"
Pramadnand Ras,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Prameha Chandrakala Rasa,"diabetes urinary disorders excessive urination weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician endocrinologist","manages diabetes supports urinary health and improves vitality"
Praneshwar Ras,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Pratap Lankeshwar Ras,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Praval Panchamrit Ras,"acidity indigestion burning sensation weakness fatigue","coral pearl herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity cools body and improves digestion"
Pushpadhanva Rasa,"infertility low libido weakness fatigue reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","supports fertility enhances vitality and improves strength"
Putapakwa Visham Jwarantak Lauh,"chronic fever anemia weakness fatigue low immunity","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hematologist","reduces chronic fever improves hemoglobin and boosts immunity"
Raja Mriganka Rasa,"weakness fatigue low immunity chronic illness recovery infertility","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Raja Shiraobhushanam,"headache migraine neurological disorders stress anxiety","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","relieves headache calms mind and supports brain function"
Rajata Chandrodaya,"weakness fatigue low immunity respiratory problems","silver herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","boosts immunity improves strength and supports lungs"
Rajata Loha Rasayana,"anemia weakness fatigue low hemoglobin low immunity","silver iron herbal blend","prepare compound process ingredients","125–250 mg","rasayana","","general physician hematologist","improves hemoglobin boosts immunity and enhances strength"
Rajata Rasayana,"weakness fatigue low immunity aging chronic illness","silver herbal blend","prepare compound process ingredients","125–250 mg","rasayana","","general physician","enhances vitality supports longevity and improves immunity"
Rajvallabh Ras,"infertility low libido weakness fatigue reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","improves fertility enhances vitality and boosts strength"
Ramabana Rasa,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Ras Pipari Ras,"indigestion bloating gas abdominal pain poor digestion","pippali herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and enhances appetite"
Ras Sindoor,"respiratory problems cough asthma weakness fatigue low immunity","mercury sulfur compound","prepare sindoor through specialized processing","15–30 mg","rasa","","general physician pulmonologist","supports lungs improves strength and boosts immunity"
Rasa Parpati,"indigestion diarrhea grahani disorder abdominal pain","herbal mineral blend","prepare by heating and forming flakes","125–250 mg","rasa","","general physician gastroenterologist","treats digestive disorders controls diarrhea and improves gut health"
Rasarat,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Rasraj Ras,"paralysis nerve disorders joint pain weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports nerves improves mobility and reduces pain"
Rohitaka Lauha,"liver disorders spleen enlargement anemia weakness fatigue","rohitaka iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician hepatologist","supports liver improves hemoglobin and reduces enlargement"
Sameer Pannag Ras,"paralysis nerve disorders joint pain weakness tremors","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports nerves improves mobility and reduces tremors"
Sampoorna Kanchana Rasa,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and boosts immunity"
Sankheshwara Rasa,"indigestion bloating gas abdominal pain diarrhea","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","improves digestion relieves gas and controls diarrhea"
Saptamrita Lauh,"eye disorders vision problems anemia weakness fatigue","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","ophthalmologist general physician","improves vision treats anemia and boosts strength"
Sarva Jvarahara Loha,"fever chronic fever infection weakness fatigue","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves strength"
Sarveshwar Parpati Ras,"indigestion diarrhea grahani disorder abdominal pain","herbal mineral blend","prepare by heating and forming flakes","125–250 mg","rasa","","general physician gastroenterologist","treats digestive disorders improves gut health and controls diarrhea"
Saubhagya Vati,"menstrual disorders infertility hormonal imbalance weakness fatigue","herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","gynecologist general physician","supports hormonal balance improves fertility and enhances strength"
Setubandha Rasa,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality improves strength and supports recovery"
Sheetari Ras,"acidity burning sensation indigestion nausea vomiting","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity cools body and soothes stomach"
Shilajitwadi Lauha,"anemia weakness fatigue diabetes low immunity","shilajit iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician endocrinologist","improves hemoglobin manages diabetes and boosts strength"
Shilajitwadi Vati,"diabetes urinary disorders weakness fatigue low immunity","shilajit herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician endocrinologist","manages diabetes improves strength and supports urinary health"
Shirah Shuladi Vajra Rasa,"headache migraine neurological disorders stress","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist","relieves headache calms mind and supports brain function"
Shitamshu Rasa,"fever burning sensation weakness fatigue bleeding disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","cools body reduces fever and improves strength"
Shleshma Gajankusham,"cough asthma bronchitis respiratory problems chest congestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough reduces congestion and supports lungs"
Shothari Lauh,"inflammation swelling edema anemia weakness fatigue","iron herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces swelling improves hemoglobin and boosts strength"
Shringarabhra Ras,"weakness fatigue low immunity infertility respiratory problems","abhrak herbal blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","boosts immunity improves strength and supports lungs"
Shukra Vallabh Ras,"infertility low libido weakness fatigue reproductive disorders","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances fertility improves vitality and boosts strength"
Shulavajrini Vati,"abdominal pain colic indigestion bloating gas","herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician gastroenterologist","relieves abdominal pain improves digestion and reduces gas"
Shvitrakushtari Rasa,"skin disorders vitiligo itching infection inflammation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces inflammation and improves pigmentation"
Shwas Kuthar Ras,"cough asthma bronchitis respiratory problems chest congestion","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","relieves cough improves breathing and supports lungs"
Siddha Makardhwaj,"weakness fatigue low immunity infertility low libido","gold mercury sulfur blend","prepare compound through specialized processing","15–30 mg","rasa","","general physician","enhances vitality improves strength and boosts reproductive health"
Siddha Praneshwar Ras,"respiratory problems cough asthma weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves strength and relieves cough"
Smriti Sagar Ras,"memory loss stress anxiety poor concentration neurological weakness","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist psychiatrist","improves memory enhances concentration and calms mind"
Somanatha Rasa,"fever infection weakness fatigue low immunity","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Sootshekhar Ras,"acidity indigestion burning sensation nausea headache","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity soothes stomach and relieves headache"
Sutikabharana Rasa,"postnatal weakness fatigue hormonal imbalance recovery","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","gynecologist","supports postnatal recovery improves strength and balances hormones"
Swacchand Bhairav Ras,"fever infection diarrhea dysentery weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and controls diarrhea"
Swarna Bhupati Ras,"weakness fatigue low immunity chronic illness recovery","herbal mineral blend gold","prepare compound process ingredients","125–250 mg","rasa","","general physician","enhances vitality boosts immunity and improves strength"
Swarna Grehani Gajkesari Ras,"indigestion diarrhea grahani disorder weakness fatigue","herbal mineral blend gold","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","treats digestive disorders improves strength and gut health"
Swarna Parpati,"indigestion diarrhea grahani disorder abdominal pain","herbal mineral blend gold","prepare by heating and forming flakes","125–250 mg","rasa","","general physician gastroenterologist","treats digestive disorders improves gut health and controls diarrhea"
Swarna Sootashekhar Rasa,"acidity indigestion burning sensation nausea headache","herbal mineral blend gold","prepare compound process ingredients","125–250 mg","rasa","","general physician gastroenterologist","reduces acidity calms mind and improves digestion"
Swarna Suryavarti Rasa,"eye disorders vision problems weakness inflammation","herbal mineral blend gold","prepare compound process ingredients","125–250 mg","rasa","","ophthalmologist general physician","improves vision reduces inflammation and nourishes eyes"
Swarna Vanga,"diabetes urinary disorders reproductive issues weakness fatigue","tin gold blend","prepare compound process ingredients","125–250 mg","rasa","","general physician endocrinologist","manages diabetes supports urinary and reproductive health"
Swas Chintamani Ras,"cough asthma bronchitis respiratory problems weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician pulmonologist","supports lungs improves breathing and boosts strength"
Tapyadi Loha Vati,"anemia weakness fatigue low hemoglobin indigestion","iron herbal blend","prepare tablets from herbal mixture","250–500 mg","vati","","general physician hematologist","improves hemoglobin treats anemia and boosts strength"
Tarkeshwar Ras,"fever chronic fever infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever treats infections and improves vitality"
Tarunarka Rasa,"skin disorders acne itching inflammation toxin accumulation","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","dermatologist general physician","treats skin diseases reduces inflammation and detoxifies body"
Trailokya Chintamani Ras,"neurological disorders weakness fatigue low immunity anxiety","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","neurologist general physician","supports brain function improves strength and calms mind"
Tribhuvan Kirti Rasa,"fever cold cough infection weakness fatigue","herbal mineral blend","prepare compound process ingredients","125–250 mg","rasa","","general physician","reduces fever relieves cold and boosts immunity"
