formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Garbhavilas Ras,pregnancy weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist,enhances strength supports pregnancy and boosts immunity,Vata
Garbhpal Ras,pregnancy support weakness fatigue fetal development,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist,supports pregnancy improves strength and fetal growth,Vata
Grahani Kapata Rasa,indigestion diarrhea bloating abdominal pain grahani disorder,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,treats grahani improves digestion and controls diarrhea,Vata
Grahani Shardul Ras,indigestion diarrhea bloating abdominal pain grahani disorder,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion treats grahani and relieves abdominal issues,Vata
Grahani Vajra Kapat Ras,indigestion diarrhea bloating abdominal pain grahani disorder,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,strengthens digestion treats grahani and controls diarrhea,Vata
Grehani Gajkesari Ras,indigestion diarrhea bloating abdominal pain weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion controls diarrhea and boosts strength,Vata
Gulmakalanala Rasa,abdominal tumors bloating gas abdominal pain indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces abdominal lumps improves digestion and relieves bloating,Vata
Gulmakuthar Ras,abdominal tumors bloating gas abdominal pain indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,treats abdominal lumps improves digestion and reduces gas,Vata
Gunjabhadra Ras,skin disorders infection inflammation toxin accumulation itching,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces infection and detoxifies body,Pitta
Hemabhraka Sindura Rasa,weakness fatigue respiratory problems low immunity infertility,abhrak mercury herbal blend,purify and process ingredients to form sindura,15–30 mg,rasa,,general physician pulmonologist,boosts immunity improves strength and supports respiratory health,Vata
Hemagarbhapottli Rasa,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,15–30 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Hikkantaka Rasa,hiccups cough respiratory problems indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves hiccups supports lungs and improves digestion,Kapha
Hinguleshwar Ras,fever infection inflammation weakness fatigue,hingula mercury herbal blend,purify and process ingredients to form compound,125–250 mg,rasa,,general physician,reduces fever treats infection and improves strength,Pitta
Hridayarnava Rasa,heart disease palpitations hypertension weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,cardiologist general physician,supports heart health reduces palpitations and improves vitality,Vata
Ichhabhedi Rasa,constipation abdominal pain bloating toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,acts as laxative relieves constipation and detoxifies body,Vata
Indushekhara Rasa,acidity indigestion burning sensation nausea headache,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity soothes stomach and relieves headache,Pitta
Jaimangal Ras,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and boosts immunity,"Vata, Pitta"
Jawsamhar Ras,dental problems gum disease tooth pain infection,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dentist,improves oral health reduces pain and treats infections,Vata
Jwalanal Ras,indigestion bloating gas abdominal pain poor digestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Jwarantak Rasayan,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasayana,,general physician,reduces fever boosts immunity and supports recovery,"Vata, Pitta"
Kalagni Bhairav Ras,indigestion bloating gas abdominal pain diarrhea,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and controls diarrhea,Vata
Kalpataru Ras,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and boosts immunity,Vata
Kamchudamani Ras,fever chronic fever weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever improves strength and boosts immunity,"Vata, Pitta"
Kamdudha Ras Moti Yukt,acidity burning sensation indigestion nausea vomiting,herbal mineral blend pearl,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity cools body and soothes stomach,Pitta
Kamdudha Ras Mukta Yukta,acidity indigestion burning sensation nausea headache,herbal mineral blend pearl,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity calms mind and improves digestion,Pitta
Kanta Vallabha Rasa,weakness fatigue infertility low libido reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,improves strength supports fertility and enhances vitality,Vata
Kaph Kuthar Ras,cough asthma bronchitis respiratory problems chest congestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces congestion and supports lungs,Kapha
Kapha Chintamani Rasa,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Kaphaketu Rasa,cough asthma bronchitis respiratory problems fever,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces fever and improves breathing,"Pitta, Kapha"
Karpura Rasa,indigestion nausea vomiting bloating abdominal pain,camphor herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves nausea and reduces bloating,Vata
Kravyad Rasa,indigestion bloating gas abdominal pain poor digestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,stimulates digestion relieves gas and improves appetite,Vata
Krimi Kantak Ras,parasitic infection intestinal worms indigestion bloating,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,eliminates worms improves digestion and detoxifies body,Vata
Krimi Kuthar Ras,parasitic infection intestinal worms abdominal pain bloating,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,destroys parasites relieves abdominal pain and improves digestion,Vata
Krimi Mudgar Ras,parasitic infection intestinal worms indigestion toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,eliminates worms detoxifies body and improves digestion,Tridosha
Krimighan Rasa,parasitic infection intestinal worms indigestion bloating,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,destroys parasites improves digestion and reduces bloating,Vata
Krishna Chaturmukh Rasa,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Kumar Kalyan Ras,childhood disorders weakness low immunity fever cough,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,pediatrician,supports child health boosts immunity and improves strength,"Vata, Pitta, Kapha"
Kumar kalyan Rasa,childhood disorders weakness low immunity fever cough,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,pediatrician,supports child health boosts immunity and improves strength,"Vata, Pitta, Kapha"
Kumudeshwar Rasa,fever infection weakness fatigue toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infection and improves vitality,"Vata, Pitta"
Kushtha Kuthar Ras,skin disorders itching infection inflammation toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,Pitta
Kushthakalanal Rasa,skin disorders chronic skin disease itching inflammation toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats chronic skin conditions detoxifies body and reduces inflammation,Pitta
Laghu Malini Vasanta Rasa,fever chronic fever weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever improves strength and boosts immunity,"Vata, Pitta"
Laghu Sutshekhar Ras,acidity indigestion burning sensation nausea headache,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity soothes stomach and relieves headache,Pitta
Lakshmi Vilasa Rasa Swarn Yukt,cough asthma bronchitis respiratory problems fever weakness,herbal mineral blend gold,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs reduces fever and boosts immunity,"Vata, Pitta, Kapha"
Laxmi Narayan Rasa,fever infection cough cold weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves strength,Kapha
Laxmibilasa Ras Nardiya,cough asthma bronchitis respiratory problems chest congestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces congestion and supports respiratory health,Kapha
Leela Vilas Ras,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever boosts immunity and improves vitality,"Vata, Pitta"
Loha Parpati,anemia weakness fatigue low hemoglobin indigestion,iron loha preparation,prepare by heating and forming thin flakes,125–250 mg,rasa,,general physician hematologist,improves hemoglobin treats anemia and supports digestion,Vata
Loknath Ras,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves strength,"Vata, Pitta"
Maha Jwarankusha Rasa,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves strength,"Vata, Pitta"
Maha Kanaka Sundara Rasa,respiratory problems cough asthma tuberculosis weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Maha Paitantaka Rasa,acidity indigestion burning sensation nausea vomiting,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity soothes stomach and improves digestion,Pitta
Mahachandrakala Rasa,bleeding disorders burning sensation fever weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,cools body reduces bleeding and improves strength,Pitta
Mahalaxmi Vilas Ras,cough asthma bronchitis respiratory problems fever weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs reduces cough and boosts immunity,"Vata, Pitta, Kapha"
Mahavat Vidhwansan Ras,arthritis joint pain nerve pain paralysis stiffness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician orthopedist,relieves joint pain supports nerves and improves mobility,Vata
Makardhwaj,weakness fatigue low immunity infertility low libido,gold mercury sulfur blend,prepare compound through specialized processing,15–30 mg,rasa,,general physician,boosts vitality improves strength and enhances reproductive health,Vata
Mallasindura,respiratory problems cough asthma tuberculosis weakness,mercury sulfur compound,prepare sindura through specialized processing,15–30 mg,rasa,,general physician pulmonologist,supports lungs improves strength and treats respiratory disorders,"Vata, Kapha"
Manikya Pishti,heart disease palpitations anxiety stress weakness,ruby gemstone processed,triturate with herbal liquids to form paste,125–250 mg,pishti,,cardiologist general physician,supports heart calms mind and improves vitality,Vata
Manmatha Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances fertility improves strength and boosts vitality,Vata
Mrityunjaya Rasa,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and supports recovery,"Vata, Pitta"
Mukta Panchamrit Ras,acidity indigestion burning sensation weakness fatigue,pearl herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity cools body and improves digestion,Pitta
Mukta Pishti,anxiety stress insomnia weakness fatigue heart disorders,pearl processed,triturate with herbal liquids to form paste,125–250 mg,pishti,,cardiologist neurologist,calms mind supports heart and improves sleep,Vata
Mukta Shukti Pishti,acidity indigestion burning sensation gastric disorders,oyster shell processed,triturate with herbal liquids to form paste,125–250 mg,pishti,,general physician gastroenterologist,reduces acidity improves digestion and soothes stomach,Pitta
Nagarjunabhra Ras,respiratory problems cough asthma weakness fatigue low immunity,abhrak herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and boosts immunity,"Vata, Kapha"
Nageshwar Ras,heart disease palpitations anxiety weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,cardiologist general physician,supports heart reduces anxiety and improves vitality,Vata
Narach Ras,constipation abdominal pain bloating toxin accumulation indigestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,acts as laxative relieves constipation and detoxifies body,Vata
Nashtapushpantak Ras,infertility menstrual disorders hormonal imbalance weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist,supports fertility balances hormones and improves reproductive health,Vata
Navaloha Chintamani,anemia weakness fatigue low hemoglobin low immunity,iron mineral herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin boosts immunity and enhances strength,Vata
Navaratna Raja Mriganka Rasa,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Navayas Lauh,anemia weakness fatigue low hemoglobin indigestion,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,improves hemoglobin treats anemia and supports digestion,Vata
Navjeevan Ras,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,revitalizes body improves strength and boosts immunity,Vata
Navratna Kalp Amrit Ras,weakness fatigue low immunity aging chronic illness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality supports longevity and improves immunity,Vata
Nityananda Rasa,skin disorders itching infection inflammation toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,Pitta
Nityodita Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Panchabana Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves fertility and boosts strength,Vata
Piyush Valli Ras,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Poorna Chandrodaya Ras,weakness fatigue low immunity infertility aging,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality supports longevity and improves strength,Vata
Pradarantak Lauh,leucorrhea menstrual disorders excessive bleeding weakness anemia,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist general physician,controls bleeding treats anemia and supports reproductive health,Vata
Pramadnand Ras,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves strength,"Vata, Pitta"
Prameha Chandrakala Rasa,diabetes urinary disorders excessive urination weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician endocrinologist,manages diabetes supports urinary health and improves vitality,Vata
Praneshwar Ras,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Pratap Lankeshwar Ras,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Praval Panchamrit Ras,acidity indigestion burning sensation weakness fatigue,coral pearl herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity cools body and improves digestion,Pitta
Pushpadhanva Rasa,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,supports fertility enhances vitality and improves strength,Vata
Putapakwa Visham Jwarantak Lauh,chronic fever anemia weakness fatigue low immunity,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hematologist,reduces chronic fever improves hemoglobin and boosts immunity,"Vata, Pitta"
Raja Mriganka Rasa,weakness fatigue low immunity chronic illness recovery infertility,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Raja Shiraobhushanam,headache migraine neurological disorders stress anxiety,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,relieves headache calms mind and supports brain function,Vata
Rajata Chandrodaya,weakness fatigue low immunity respiratory problems,silver herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,boosts immunity improves strength and supports lungs,Vata
Rajata Loha Rasayana,anemia weakness fatigue low hemoglobin low immunity,silver iron herbal blend,prepare compound process ingredients,125–250 mg,rasayana,,general physician hematologist,improves hemoglobin boosts immunity and enhances strength,Vata
Rajata Rasayana,weakness fatigue low immunity aging chronic illness,silver herbal blend,prepare compound process ingredients,125–250 mg,rasayana,,general physician,enhances vitality supports longevity and improves immunity,Vata
Rajvallabh Ras,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,improves fertility enhances vitality and boosts strength,Vata
Ramabana Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Ras Pipari Ras,indigestion bloating gas abdominal pain poor digestion,pippali herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and enhances appetite,Vata
Ras Sindoor,respiratory problems cough asthma weakness fatigue low immunity,mercury sulfur compound,prepare sindoor through specialized processing,15–30 mg,rasa,,general physician pulmonologist,supports lungs improves strength and boosts immunity,"Vata, Kapha"
Rasa Parpati,indigestion diarrhea grahani disorder abdominal pain,herbal mineral blend,prepare by heating and forming flakes,125–250 mg,rasa,,general physician gastroenterologist,treats digestive disorders controls diarrhea and improves gut health,Vata
Rasarat,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Rasraj Ras,paralysis nerve disorders joint pain weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,supports nerves improves mobility and reduces pain,Vata
Rohitaka Lauha,liver disorders spleen enlargement anemia weakness fatigue,rohitaka iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician hepatologist,supports liver improves hemoglobin and reduces enlargement,Vata
Sameer Pannag Ras,paralysis nerve disorders joint pain weakness tremors,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,supports nerves improves mobility and reduces tremors,Vata
Sampoorna Kanchana Rasa,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and boosts immunity,Vata
Sankheshwara Rasa,indigestion bloating gas abdominal pain diarrhea,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and controls diarrhea,Vata
Saptamrita Lauh,eye disorders vision problems anemia weakness fatigue,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,ophthalmologist general physician,improves vision treats anemia and boosts strength,Vata
Sarva Jvarahara Loha,fever chronic fever infection weakness fatigue,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves strength,"Vata, Pitta"
Sarveshwar Parpati Ras,indigestion diarrhea grahani disorder abdominal pain,herbal mineral blend,prepare by heating and forming flakes,125–250 mg,rasa,,general physician gastroenterologist,treats digestive disorders improves gut health and controls diarrhea,Vata
Saubhagya Vati,menstrual disorders infertility hormonal imbalance weakness fatigue,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,gynecologist general physician,supports hormonal balance improves fertility and enhances strength,Vata
Setubandha Rasa,weakness fatigue low immunity chronic illness recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality improves strength and supports recovery,Vata
Sheetari Ras,acidity burning sensation indigestion nausea vomiting,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity cools body and soothes stomach,Pitta
Shilajitwadi Lauha,anemia weakness fatigue diabetes low immunity,shilajit iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician endocrinologist,improves hemoglobin manages diabetes and boosts strength,Vata
Shilajitwadi Vati,diabetes urinary disorders weakness fatigue low immunity,shilajit herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician endocrinologist,manages diabetes improves strength and supports urinary health,Vata
Shirah Shuladi Vajra Rasa,headache migraine neurological disorders stress,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist,relieves headache calms mind and supports brain function,Tridosha
Shitamshu Rasa,fever burning sensation weakness fatigue bleeding disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,cools body reduces fever and improves strength,Pitta
Shleshma Gajankusham,cough asthma bronchitis respiratory problems chest congestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough reduces congestion and supports lungs,Kapha
Shothari Lauh,inflammation swelling edema anemia weakness fatigue,iron herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces swelling improves hemoglobin and boosts strength,"Vata, Pitta"
Shringarabhra Ras,weakness fatigue low immunity infertility respiratory problems,abhrak herbal blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,boosts immunity improves strength and supports lungs,Vata
Shukra Vallabh Ras,infertility low libido weakness fatigue reproductive disorders,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances fertility improves vitality and boosts strength,Vata
Shulavajrini Vati,abdominal pain colic indigestion bloating gas,herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician gastroenterologist,relieves abdominal pain improves digestion and reduces gas,Vata
Shvitrakushtari Rasa,skin disorders vitiligo itching infection inflammation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces inflammation and improves pigmentation,Pitta
Shwas Kuthar Ras,cough asthma bronchitis respiratory problems chest congestion,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,relieves cough improves breathing and supports lungs,Kapha
Siddha Makardhwaj,weakness fatigue low immunity infertility low libido,gold mercury sulfur blend,prepare compound through specialized processing,15–30 mg,rasa,,general physician,enhances vitality improves strength and boosts reproductive health,Vata
Siddha Praneshwar Ras,respiratory problems cough asthma weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves strength and relieves cough,"Vata, Kapha"
Smriti Sagar Ras,memory loss stress anxiety poor concentration neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,improves memory enhances concentration and calms mind,Vata
Somanatha Rasa,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Sootshekhar Ras,acidity indigestion burning sensation nausea headache,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity soothes stomach and relieves headache,Pitta
Sutikabharana Rasa,postnatal weakness fatigue hormonal imbalance recovery,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,gynecologist,supports postnatal recovery improves strength and balances hormones,Vata
Swacchand Bhairav Ras,fever infection diarrhea dysentery weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and controls diarrhea,"Vata, Pitta"
Swarna Bhupati Ras,weakness fatigue low immunity chronic illness recovery,herbal mineral blend gold,prepare compound process ingredients,125–250 mg,rasa,,general physician,enhances vitality boosts immunity and improves strength,Vata
Swarna Grehani Gajkesari Ras,indigestion diarrhea grahani disorder weakness fatigue,herbal mineral blend gold,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,treats digestive disorders improves strength and gut health,Vata
Swarna Parpati,indigestion diarrhea grahani disorder abdominal pain,herbal mineral blend gold,prepare by heating and forming flakes,125–250 mg,rasa,,general physician gastroenterologist,treats digestive disorders improves gut health and controls diarrhea,Vata
Swarna Sootashekhar Rasa,acidity indigestion burning sensation nausea headache,herbal mineral blend gold,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,reduces acidity calms mind and improves digestion,Pitta
Swarna Suryavarti Rasa,eye disorders vision problems weakness inflammation,herbal mineral blend gold,prepare compound process ingredients,125–250 mg,rasa,,ophthalmologist general physician,improves vision reduces inflammation and nourishes eyes,"Vata, Pitta"
Swarna Vanga,diabetes urinary disorders reproductive issues weakness fatigue,tin gold blend,prepare compound process ingredients,125–250 mg,rasa,,general physician endocrinologist,manages diabetes supports urinary and reproductive health,Vata
Swas Chintamani Ras,cough asthma bronchitis respiratory problems weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician pulmonologist,supports lungs improves breathing and boosts strength,"Vata, Kapha"
Tapyadi Loha Vati,anemia weakness fatigue low hemoglobin indigestion,iron herbal blend,prepare tablets from herbal mixture,250–500 mg,vati,,general physician hematologist,improves hemoglobin treats anemia and boosts strength,Vata
Tarkeshwar Ras,fever chronic fever infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Tarunarka Rasa,skin disorders acne itching inflammation toxin accumulation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,dermatologist general physician,treats skin diseases reduces inflammation and detoxifies body,Pitta
Trailokya Chintamani Ras,neurological disorders weakness fatigue low immunity anxiety,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist general physician,supports brain function improves strength and calms mind,Vata
Tribhuvan Kirti Rasa,fever cold cough infection weakness fatigue,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever relieves cold and boosts immunity,Kapha
Trivikram Rasa,indigestion bloating gas abdominal pain constipation,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Udayaditya Ras,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Unmad Gaj Kesari Ras,mental disorders anxiety psychosis insomnia neurological weakness,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,neurologist psychiatrist,treats mental disorders calms mind and improves brain function,Vata
Vasant Kusumakar Ras,diabetes weakness fatigue low immunity infertility,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician endocrinologist,manages diabetes improves strength and boosts immunity,Vata
Vasant Malti Ras,fever chronic fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever treats infections and improves vitality,"Vata, Pitta"
Vasant Tilak Ras,fever infection weakness fatigue low immunity,herbal mineral blend,prepare compound process ingredients,125–250 mg,rasa,,general physician,reduces fever boosts immunity and improves strength,"Vata, Pitta"
